ledger_id,archive_id,proposal_key,proposal_number,title,status,chain,project_id,project_name,proposer,proposal_executed_at,proposal_end_at,proposal_created_at,asset_symbol,asset_name,asset_kind,token_contract,recipient_address,recipient_display_name,amount,valuation_reference_at,valuation_date,usd_price_at_execution,usd_value_at_execution,usd_price_source,usd_valuation_status,source_url,canonical_url
gnars-base-90:1,gnars-base-90,0x3601c259fd141a829e692ab0a7a99ee4da7efafba92ffc96a84079e23e2cd508,90, Transfer Correction – Proposal 70,executed,base,,,0x25810d1a8b1affc444d5333bf0496f1202d6f89f,2025-07-19T20:47:15.000Z,2025-07-12T02:42:39.000Z,2025-07-05T02:42:39Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x25810d1a8b1affc444d5333bf0496f1202d6f89f,0x2581...f89f,360.0,2025-07-19T20:47:15+00:00,2025-07-19,1.0,360.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/90,https://www.gnars.com/proposals/base/90
gnars-base-89:1,gnars-base-89,0x0bbcfd203e468c667c2f19c5f1c54cc83ea39369a6aafbda5993546cbfcf063c,89,Noggle Rail - Itapetininga Skate Park ⌐◨-◨,executed,base,,,0x43c363f3821b4efe4f9d04df74c0e32db42a7970,2025-07-01T22:31:31.000Z,2025-06-29T17:44:05.000Z,2025-06-22T17:44:05Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x43c363f3821b4efe4f9d04df74c0e32db42a7970,0x43c3...7970,1700.0,2025-07-01T22:31:31+00:00,2025-07-01,1.0,1700.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/89,https://www.gnars.com/proposals/base/89
gnars-base-86:2,gnars-base-86,0x8ba2d9f2ccdcbe3435b37e17df8cb051444e5cfc155a993ae64401967f0d306c,86,Gnars Flows,executed,base,,,0x289715ffbb2f4b482e2917d2f183feab564ec84f,2025-06-01T20:55:43.000Z,2025-05-28T21:09:35.000Z,2025-05-21T21:09:35Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xc4079dc1f8f84711eee0942c192829f473fc3c28,0xc407...3c28,8000.0,2025-06-01T20:55:43+00:00,2025-06-01,1.0,8000.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/86,https://www.gnars.com/proposals/base/86
gnars-base-86:1,gnars-base-86,0x8ba2d9f2ccdcbe3435b37e17df8cb051444e5cfc155a993ae64401967f0d306c,86,Gnars Flows,executed,base,,,0x289715ffbb2f4b482e2917d2f183feab564ec84f,2025-06-01T20:55:43.000Z,2025-05-28T21:09:35.000Z,2025-05-21T21:09:35Z,ETH,Ether,native,,0x289715ffbb2f4b482e2917d2f183feab564ec84f,rocketman21.eth,1.0,2025-06-01T20:55:43+00:00,2025-06-01,2532.362785309087,2532.36278531,coingecko:ethereum,historical-price,https://www.gnars.com/proposals/base/86,https://www.gnars.com/proposals/base/86
gnars-base-77:1,gnars-base-77,0x868d7139f888b6e69d44390233f7f4e12993a12ec93eb30b1d17daff0a271fe0,77,THE GLOBAL PREMIERE OF UGANDA CONNECTION DOCUMENTARY,executed,base,,,0xddd7c01cecdbd0ac633ef7405a60165f731e645f,2025-04-22T12:21:21.000Z,2025-04-19T15:22:15.000Z,2025-04-12T15:22:15Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xddd7c01cecdbd0ac633ef7405a60165f731e645f,0xddd7...645f,1350.0,2025-04-22T12:21:21+00:00,2025-04-22,1.0,1350.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/77,https://www.gnars.com/proposals/base/77
gnars-base-76:1,gnars-base-76,0x4358ff00cae282aae782ab281deea98005e64211031d6a01e4a469e56829ba10,76,7CAPAS MAGAZINE & GNARS,executed,base,,,0x9ad8d2a8ef4bf60a667dd43fcb178bdbd93ae1c8,2025-04-10T13:03:21.000Z,2025-04-08T00:38:01.000Z,2025-04-01T00:38:01Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x9ad8d2a8ef4bf60a667dd43fcb178bdbd93ae1c8,7capas.eth,2500.0,2025-04-10T13:03:21+00:00,2025-04-10,1.0,2500.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/76,https://www.gnars.com/proposals/base/76
gnars-base-70:1,gnars-base-70,0x92b06a8ba0a1f01c66649f053c7638554412226dd7f793a7d8c3303c36981d10,70,Sponsor Gnars Athlete Monik Santos to Compete in Brazil’s Main Surf Event,executed,base,,,0x25810d1a8b1affc444d5333bf0496f1202d6f89f,2025-03-25T12:42:31.000Z,2025-03-22T01:00:27.000Z,2025-03-15T01:00:27Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0020d02026e6e82a8f002024a418c0f486bc597e,0x0020...597e,2042.0,2025-03-25T12:42:31+00:00,2025-03-25,1.0,2042.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/70,https://www.gnars.com/proposals/base/70
gnars-base-68:1,gnars-base-68,0x7be4ab93f3ed0cfbb369db67b634b5ded19710948cda5d087b250408e23108f2,68,Noggles Rail in Milan - First in Italy ,executed,base,,,0xf32dd1bd55bd14d929218499a2e7d106f72f79c7,2025-03-14T03:02:31.000Z,2025-03-12T00:51:15.000Z,2025-03-05T00:51:15Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xe61bcfe6a7e4fd33f1c439558e9fd549371d728e,0xe61b...728e,1250.0,2025-03-14T03:02:31+00:00,2025-03-14,1.0,1250.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/68,https://www.gnars.com/proposals/base/68
gnars-base-65:1,gnars-base-65,0x0056d906e367d2416268e0e41035dac79a8a9118bde2c284bd4610e569f922c7,65,Reimbursement Proposal for Benbodhi,executed,base,,,0x1273261b09dc30d0b6ce460d7cab5820fa42e38c,2025-02-20T15:19:13.000Z,2025-02-17T15:45:27.000Z,2025-02-10T15:45:27Z,SENDIT,Sendit,erc20,0xba5b9b2d2d06a9021eb3190ea5fb0e02160839a4,0xa903c06bf35286f6d1cdad25396748353979a44c,benbodhi.eth,12881837.0,2025-02-20T15:19:13+00:00,2025-02-20,1.519e-05,195.67510403,coingecko-html-historical-page,historical-price,https://www.gnars.com/proposals/base/65,https://www.gnars.com/proposals/base/65
gnars-base-64:1,gnars-base-64,0xa9302fb2d285de35a51c436f3e2fb50a1c5c3248d5c98972cee3fa553b4d8ad1,64,Shredding into DeSci: GNARS X BluntDAO x DeSCI World,executed,base,,,0x2858eba3985476ca81217f2f8c5e65508f34960f,2025-02-19T14:55:27.000Z,2025-02-17T14:07:11.000Z,2025-02-10T14:07:11Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2858eba3985476ca81217f2f8c5e65508f34960f,0x2858...960f,2250.0,2025-02-19T14:55:27+00:00,2025-02-19,1.0,2250.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/64,https://www.gnars.com/proposals/base/64
