archive_id,proposal_number,title,status,chain,created_at,executed_spend_usd,vote_count,voting_power,cost_per_vote_usd,cost_per_voting_power_usd,source_url
gnars-base-63,63,Dave Bachinsky » 1 Year Sponsorship Proposal ,executed,base,2025-01-31T04:00:29Z,6567.7,22,825.0,298.53,7.960855,https://www.gnars.com/proposals/base/63
gnars-base-64,64,Shredding into DeSci: GNARS X BluntDAO x DeSCI World,executed,base,2025-02-10T14:07:11Z,2250.0,22,1002.0,102.27,2.245509,https://www.gnars.com/proposals/base/64
gnars-base-65,65,Reimbursement Proposal for Benbodhi,executed,base,2025-02-10T15:45:27Z,195.68,21,1016.0,9.32,0.192594,https://www.gnars.com/proposals/base/65
gnars-base-68,68,Noggles Rail in Milan - First in Italy ,executed,base,2025-03-05T00:51:15Z,1250.0,27,658.0,46.3,1.899696,https://www.gnars.com/proposals/base/68
gnars-base-70,70,Sponsor Gnars Athlete Monik Santos to Compete in Brazil’s Main Surf Event,executed,base,2025-03-15T01:00:27Z,2042.0,20,1065.0,102.1,1.917371,https://www.gnars.com/proposals/base/70
gnars-base-76,76,7CAPAS MAGAZINE & GNARS,executed,base,2025-04-01T00:38:01Z,2500.0,32,1098.0,78.12,2.276867,https://www.gnars.com/proposals/base/76
gnars-base-77,77,THE GLOBAL PREMIERE OF UGANDA CONNECTION DOCUMENTARY,executed,base,2025-04-12T15:22:15Z,1350.0,21,766.0,64.29,1.762402,https://www.gnars.com/proposals/base/77
gnars-base-86,86,Gnars Flows,executed,base,2025-05-21T21:09:35Z,10532.36,45,1193.0,234.05,8.828468,https://www.gnars.com/proposals/base/86
gnars-base-89,89,Noggle Rail - Itapetininga Skate Park ⌐◨-◨,executed,base,2025-06-22T17:44:05Z,1700.0,20,788.0,85.0,2.15736,https://www.gnars.com/proposals/base/89
gnars-base-90,90, Transfer Correction – Proposal 70,executed,base,2025-07-05T02:42:39Z,360.0,13,883.0,27.69,0.407701,https://www.gnars.com/proposals/base/90
gnars-base-91,91,IPFS Reimbursement and Advance for Shared IPFS Infrastructure,executed,base,2025-07-14T11:34:45Z,0.0,24,811.0,0.0,0.0,https://www.gnars.com/proposals/base/91
gnars-base-95,95,Funding Katwe Parkour Culture to make the DIY Parkour Equipments,executed,base,2025-07-26T00:37:01Z,1200.0,25,698.0,48.0,1.719198,https://www.gnars.com/proposals/base/95
gnars-base-97,97,Pod Media Proposal 3.0,executed,base,2025-08-22T21:20:25Z,5153.36,31,901.0,166.24,5.719601,https://www.gnars.com/proposals/base/97
gnars-base-99,99,Gnars Crew at Devconnect Buenos Aires 2025 – Skate + Hacker House,executed,base,2025-09-26T12:50:33Z,4515.32,19,615.0,237.65,7.341986,https://www.gnars.com/proposals/base/99
gnars-ethereum-38,38,Base Jump 4 of 4 (proposals 2-3 not required),executed,ethereum,2024-03-21T04:50:23Z,36767.78,0,636.0,,57.810983,https://www.gnars.com/proposals/ethereum/38
gnars-snapshot-101,101,"Refund Support for Film Ode to Skate with 0,253ETH -  U$1000",executed,snapshot,2024-03-13T01:13:50Z,921.75,0,730.0,,1.262671,https://www.gnars.com/proposals/snapshot/101
snapshot-0x00fc8920736e34ab77c10ed9837df13aed9ddfe35132c271d5982a19a5857b74,,[Prop. 40] Sponsor Nico Karolla w/ 3.5 ETH for 6 Months,closed,snapshot,2023-01-11T00:43:54Z,7756.6,30,617.0,258.55,12.571475,https://v1.snapshot.box/#/gnars.eth/proposal/0x00fc8920736e34ab77c10ed9837df13aed9ddfe35132c271d5982a19a5857b74
snapshot-0x013702a15624613befa0ed1488350610f8d98c3d71c82e240183e8692600a5f9,,Nounifying Brazil and Web3 Workshops in communities of Rio de Janeiro,closed,snapshot,2022-09-08T05:14:58Z,5506.23,22,616.0,250.28,8.938693,https://v1.snapshot.box/#/gnars.eth/proposal/0x013702a15624613befa0ed1488350610f8d98c3d71c82e240183e8692600a5f9
snapshot-0x08e71d63f57a0e47eb487e8b99c44b051e1d3bf6cb69344726e17a0d75645e8b,,Ground Catch x Gnars Skate Tournament in the Philippines,closed,snapshot,2023-05-03T18:43:25Z,7580.92,13,489.0,583.15,15.502904,https://v1.snapshot.box/#/gnars.eth/proposal/0x08e71d63f57a0e47eb487e8b99c44b051e1d3bf6cb69344726e17a0d75645e8b
