funding_source_id,title,source_kind,status,currency,amount,recipient_label,recipient_address,proposal_chain,proposal_urls,tags,notes
nouns-bootstrap-2022,Gnars x Nouns Athletes,nouns-governance-grant,approved,ETH,69.0,shred.gnars.eth,0x0658f4ed17289144717713adffc2539ef7c2ef8e,51,https://nounsagora.com/proposals/51,origin-funding|bootstrap|nouns-dao|treasury-inflow|metrics|data-driven|analytics|governance|treasury,First major external treasury source used to bootstrap Gnars as a Nouns-aligned sub-DAO.
nouns-growth-2023-revision-track,Bring a million shredders onchain,nouns-governance-grant,approved,USDC,300000.0,gnars.eth / shred.gnars.eth treasury path,0x0658f4ed17289144717713adffc2539ef7c2ef8e,363|382,https://nouns.wtf/vote/363|https://www.nouns.camp/proposals/382,origin-funding|growth-funding|nouns-dao|proposal-revision|metrics|data-driven|analytics|governance|treasury,Treated as one funding source with two governance artifacts (original + revised).
