window_id,label,since,active_proposals_now,proposal_count,successful_proposal_count,payout_count,delivery_count,recipient_count,payouts_by_asset_json,top_recipients_json,top_projects_json,top_proposals_json,top_people_json
7d,Last 7 Days,2026-03-13T00:00:00+00:00,2,3,1,1,4,1,"[{""symbol"": ""USDC"", ""amount"": 1570.0}]","[{""address"": ""0x25810d1a8b1affc444d5333bf0496f1202d6f89f"", ""display_name"": ""0x2581...f89f"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""project_id"": ""gnars-base-117"", ""project_name"": ""Sponsor Gnars Monik Santos in QS/WSL 2026"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""archive_id"": ""gnars-base-117"", ""proposal_number"": 117, ""title"": ""Sponsor Gnars Monik Santos in QS/WSL 2026"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""address"": ""0x25810d1a8b1affc444d5333bf0496f1202d6f89f"", ""display_name"": ""0x2581...f89f"", ""received_totals"": [{""symbol"": ""USDC"", ""amount"": 1570.0}], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 1572.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d"", ""display_name"": ""r4topunk"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 3, ""score"": 6.5, ""tribes"": [""athlete"", ""builder"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0xaaed9fff9858d48925904e391b77892ba5fda824"", ""display_name"": ""fcarva"", ""received_totals"": [], ""authored_count"": 0, ""delivery_count"": 4, ""score"": 6.0, ""tribes"": [""builder"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x8bf5941d27176242745b716251943ae4892a3c26"", ""display_name"": ""vlad"", ""received_totals"": [], ""authored_count"": 0, ""delivery_count"": 3, ""score"": 4.5, ""tribes"": [""builder"", ""contributor"", ""delegate"", ""holder"", ""member""]}, {""address"": ""0x2feb329b9289b60064904fa61fc347157a5aed6a"", ""display_name"": ""zimardrp.eth"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}]"
30d,Last 30 Days,2026-02-18T00:00:00+00:00,2,7,1,1,4,1,"[{""symbol"": ""USDC"", ""amount"": 1570.0}]","[{""address"": ""0x25810d1a8b1affc444d5333bf0496f1202d6f89f"", ""display_name"": ""0x2581...f89f"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""project_id"": ""gnars-base-117"", ""project_name"": ""Sponsor Gnars Monik Santos in QS/WSL 2026"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""archive_id"": ""gnars-base-117"", ""proposal_number"": 117, ""title"": ""Sponsor Gnars Monik Santos in QS/WSL 2026"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""address"": ""0x25810d1a8b1affc444d5333bf0496f1202d6f89f"", ""display_name"": ""0x2581...f89f"", ""received_totals"": [{""symbol"": ""USDC"", ""amount"": 1570.0}], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 1572.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d"", ""display_name"": ""r4topunk"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 3, ""score"": 6.5, ""tribes"": [""athlete"", ""builder"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0x4b5951ca3fd19897feb9e42609f252b609eae526"", ""display_name"": ""ai.gami.eth"", ""received_totals"": [], ""authored_count"": 3, ""delivery_count"": 0, ""score"": 6.0, ""tribes"": [""athlete"", ""contributor"", ""member"", ""proposer""]}, {""address"": ""0xaaed9fff9858d48925904e391b77892ba5fda824"", ""display_name"": ""fcarva"", ""received_totals"": [], ""authored_count"": 0, ""delivery_count"": 4, ""score"": 6.0, ""tribes"": [""builder"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x8bf5941d27176242745b716251943ae4892a3c26"", ""display_name"": ""vlad"", ""received_totals"": [], ""authored_count"": 0, ""delivery_count"": 3, ""score"": 4.5, ""tribes"": [""builder"", ""contributor"", ""delegate"", ""holder"", ""member""]}, {""address"": ""0x4d16fce1bd6e327ae31398ce9a2c4e12c077ecb1"", ""display_name"": ""swarthyhatter.eth"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x2feb329b9289b60064904fa61fc347157a5aed6a"", ""display_name"": ""zimardrp.eth"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}]"
90d,Last 90 Days,2025-12-20T00:00:00+00:00,2,11,2,1,4,1,"[{""symbol"": ""USDC"", ""amount"": 1570.0}]","[{""address"": ""0x25810d1a8b1affc444d5333bf0496f1202d6f89f"", ""display_name"": ""0x2581...f89f"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""project_id"": ""gnars-base-117"", ""project_name"": ""Sponsor Gnars Monik Santos in QS/WSL 2026"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""archive_id"": ""gnars-base-117"", ""proposal_number"": 117, ""title"": ""Sponsor Gnars Monik Santos in QS/WSL 2026"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 1570.0}]}]","[{""address"": ""0x25810d1a8b1affc444d5333bf0496f1202d6f89f"", ""display_name"": ""0x2581...f89f"", ""received_totals"": [{""symbol"": ""USDC"", ""amount"": 1570.0}], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 1572.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0xaaed9fff9858d48925904e391b77892ba5fda824"", ""display_name"": ""fcarva"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 4, ""score"": 8.0, ""tribes"": [""builder"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d"", ""display_name"": ""r4topunk"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 3, ""score"": 6.5, ""tribes"": [""athlete"", ""builder"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0x4b5951ca3fd19897feb9e42609f252b609eae526"", ""display_name"": ""ai.gami.eth"", ""received_totals"": [], ""authored_count"": 3, ""delivery_count"": 0, ""score"": 6.0, ""tribes"": [""athlete"", ""contributor"", ""member"", ""proposer""]}, {""address"": ""0x8bf5941d27176242745b716251943ae4892a3c26"", ""display_name"": ""vlad"", ""received_totals"": [], ""authored_count"": 0, ""delivery_count"": 3, ""score"": 4.5, ""tribes"": [""builder"", ""contributor"", ""delegate"", ""holder"", ""member""]}, {""address"": ""0xd1195629d9ba1168591b8ecdec9abb1721fcc7d8"", ""display_name"": ""0xd119...c7d8"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x057cfcd04198e6d17f1bf502135d9508b6fa2fde"", ""display_name"": ""pamtech.eth"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x225e9b54f41f44f42150b6aaa730da5f2d23faf2"", ""display_name"": ""ric.eth"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x4d16fce1bd6e327ae31398ce9a2c4e12c077ecb1"", ""display_name"": ""swarthyhatter.eth"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""contributor"", ""delegate"", ""holder"", ""member"", ""proposer""]}, {""address"": ""0x2feb329b9289b60064904fa61fc347157a5aed6a"", ""display_name"": ""zimardrp.eth"", ""received_totals"": [], ""authored_count"": 1, ""delivery_count"": 0, ""score"": 2.0, ""tribes"": [""athlete"", ""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}]"
all,All Time,,2,222,170,129,4,62,"[{""symbol"": ""TOKEN-4F6047"", ""amount"": 2.06232e+20}, {""symbol"": ""TOKEN-09E938"", ""amount"": 1575000000.0}, {""symbol"": ""SENDIT"", ""amount"": 342608635.0572531}, {""symbol"": ""USDC"", ""amount"": 170693.0}, {""symbol"": ""ETH"", ""amount"": 190.24655954}]","[{""address"": ""0x41cb654d1f47913acab158a8199191d160dabe4a"", ""display_name"": ""0x41cb...be4a"", ""totals_by_asset"": [{""symbol"": ""TOKEN-4F6047"", ""amount"": 2.06232e+20}, {""symbol"": ""SENDIT"", ""amount"": 85879900.0}, {""symbol"": ""ETH"", ""amount"": 12.5}]}, {""address"": ""0x09e938e239803c78507abd5687a97acfea1188ea"", ""display_name"": ""0x09e9...88ea"", ""totals_by_asset"": [{""symbol"": ""TOKEN-09E938"", ""amount"": 1575000000.0}]}, {""address"": ""0xbc94f5266c5f78677b98238fc93d825d25abfc12"", ""display_name"": ""0xbc94...fc12"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 119569120.28725314}, {""symbol"": ""USDC"", ""amount"": 2650.0}]}, {""address"": ""0x244306053c673b93bc9885fdacfc352032725c87"", ""display_name"": ""0x2443...5c87"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 46500000.0}, {""symbol"": ""USDC"", ""amount"": 3200.0}, {""symbol"": ""ETH"", ""amount"": 1.0}]}, {""address"": ""0x576950a0ae9c6c134a381fb4cf245e478e82ecab"", ""display_name"": ""0x5769...ecab"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 38888888.885}]}, {""address"": ""0xe63617c62f18dbc7eff3d7c9eb8bac4d1c2adecc"", ""display_name"": ""0xe636...decc"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 38888888.885}]}, {""address"": ""0xa903c06bf35286f6d1cdad25396748353979a44c"", ""display_name"": ""benbodhi.eth"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 12881837.0}]}, {""address"": ""0xe5f6202ff7ddc5273c249073865bc6f4d5d68beb"", ""display_name"": ""0xe5f6...8beb"", ""totals_by_asset"": [{""symbol"": ""USDC"", ""amount"": 29215.0}, {""symbol"": ""ETH"", ""amount"": 1.0}]}]","[{""project_id"": ""gnars-base-91"", ""project_name"": ""IPFS Reimbursement and Advance for Shared IPFS Infrastructure"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""TOKEN-4F6047"", ""amount"": 2.06232e+20}]}, {""project_id"": ""gnars-base-36"", ""project_name"": ""Maryhill Fall RVOD Freeride Sponsorship"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""TOKEN-09E938"", ""amount"": 950000000.0}]}, {""project_id"": ""gnars-base-35"", ""project_name"": ""Salt Spring Slasher Sponsorship"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""TOKEN-09E938"", ""amount"": 625000000.0}]}, {""project_id"": ""gnars-base-61"", ""project_name"": ""Bernardo Nassar renewal propososal V2 (Bodyboarder)"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 119569120.28725314}, {""symbol"": ""USDC"", ""amount"": 2650.0}]}, {""project_id"": ""gnars-base-57"", ""project_name"": ""Create a Round in Rounds.wtf for sharing Gnarly Media created in 2024"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 85879900.0}]}, {""project_id"": ""gnars-base-12"", ""project_name"": ""Fund the Community and Tech Pods with Sendit"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 77777777.77}]}, {""project_id"": ""gnars-base-63"", ""project_name"": ""Dave Bachinsky » 1 Year Sponsorship Proposal "", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 46500000.0}, {""symbol"": ""USDC"", ""amount"": 3200.0}, {""symbol"": ""ETH"", ""amount"": 1.0}]}, {""project_id"": ""gnars-base-65"", ""project_name"": ""Reimbursement Proposal for Benbodhi"", ""status"": ""unknown"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 12881837.0}]}]","[{""archive_id"": ""gnars-base-91"", ""proposal_number"": 91, ""title"": ""IPFS Reimbursement and Advance for Shared IPFS Infrastructure"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""TOKEN-4F6047"", ""amount"": 2.06232e+20}]}, {""archive_id"": ""gnars-base-36"", ""proposal_number"": 36, ""title"": ""Maryhill Fall RVOD Freeride Sponsorship"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""TOKEN-09E938"", ""amount"": 950000000.0}]}, {""archive_id"": ""gnars-base-35"", ""proposal_number"": 35, ""title"": ""Salt Spring Slasher Sponsorship"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""TOKEN-09E938"", ""amount"": 625000000.0}]}, {""archive_id"": ""gnars-base-61"", ""proposal_number"": 61, ""title"": ""Bernardo Nassar renewal propososal V2 (Bodyboarder)"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 119569120.28725314}, {""symbol"": ""USDC"", ""amount"": 2650.0}]}, {""archive_id"": ""gnars-base-57"", ""proposal_number"": 57, ""title"": ""Create a Round in Rounds.wtf for sharing Gnarly Media created in 2024"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 85879900.0}]}, {""archive_id"": ""gnars-base-12"", ""proposal_number"": 12, ""title"": ""Fund the Community and Tech Pods with Sendit"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 77777777.77}]}, {""archive_id"": ""gnars-base-63"", ""proposal_number"": 63, ""title"": ""Dave Bachinsky » 1 Year Sponsorship Proposal "", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 46500000.0}, {""symbol"": ""USDC"", ""amount"": 3200.0}, {""symbol"": ""ETH"", ""amount"": 1.0}]}, {""archive_id"": ""gnars-base-65"", ""proposal_number"": 65, ""title"": ""Reimbursement Proposal for Benbodhi"", ""status"": ""executed"", ""totals_by_asset"": [{""symbol"": ""SENDIT"", ""amount"": 12881837.0}]}]","[{""address"": ""0x41cb654d1f47913acab158a8199191d160dabe4a"", ""display_name"": ""0x41cb...be4a"", ""received_totals"": [{""symbol"": ""TOKEN-4F6047"", ""amount"": 2.06232e+20}, {""symbol"": ""SENDIT"", ""amount"": 85879900.0}, {""symbol"": ""ETH"", ""amount"": 12.5}], ""authored_count"": 22, ""delivery_count"": 0, ""score"": 2.06232e+20, ""tribes"": [""athlete"", ""contributor"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0x09e938e239803c78507abd5687a97acfea1188ea"", ""display_name"": ""0x09e9...88ea"", ""received_totals"": [{""symbol"": ""TOKEN-09E938"", ""amount"": 1575000000.0}], ""authored_count"": 3, ""delivery_count"": 0, ""score"": 1575000006.0, ""tribes"": [""contributor"", ""delegate"", ""holder"", ""member"", ""proposer"", ""recipient""]}, {""address"": ""0xbc94f5266c5f78677b98238fc93d825d25abfc12"", ""display_name"": ""0xbc94...fc12"", ""received_totals"": [{""symbol"": ""SENDIT"", ""amount"": 119569120.28725314}, {""symbol"": ""USDC"", ""amount"": 2650.0}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 119569120.2873, ""tribes"": [""contributor"", ""member"", ""recipient""]}, {""address"": ""0x244306053c673b93bc9885fdacfc352032725c87"", ""display_name"": ""0x2443...5c87"", ""received_totals"": [{""symbol"": ""SENDIT"", ""amount"": 46500000.0}, {""symbol"": ""USDC"", ""amount"": 3200.0}, {""symbol"": ""ETH"", ""amount"": 1.0}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 46500000.0, ""tribes"": [""contributor"", ""member"", ""recipient""]}, {""address"": ""0x576950a0ae9c6c134a381fb4cf245e478e82ecab"", ""display_name"": ""0x5769...ecab"", ""received_totals"": [{""symbol"": ""SENDIT"", ""amount"": 38888888.885}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 38888888.885, ""tribes"": [""contributor"", ""delegate"", ""holder"", ""member"", ""recipient""]}, {""address"": ""0xe63617c62f18dbc7eff3d7c9eb8bac4d1c2adecc"", ""display_name"": ""0xe636...decc"", ""received_totals"": [{""symbol"": ""SENDIT"", ""amount"": 38888888.885}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 38888888.885, ""tribes"": [""contributor"", ""delegate"", ""holder"", ""member"", ""recipient""]}, {""address"": ""0xa903c06bf35286f6d1cdad25396748353979a44c"", ""display_name"": ""benbodhi.eth"", ""received_totals"": [{""symbol"": ""SENDIT"", ""amount"": 12881837.0}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 12881837.0, ""tribes"": [""contributor"", ""member"", ""recipient""]}, {""address"": ""0xe5f6202ff7ddc5273c249073865bc6f4d5d68beb"", ""display_name"": ""0xe5f6...8beb"", ""received_totals"": [{""symbol"": ""USDC"", ""amount"": 29215.0}, {""symbol"": ""ETH"", ""amount"": 1.0}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 29215.0, ""tribes"": [""contributor"", ""member"", ""recipient""]}, {""address"": ""0xe1b91eb3f3747d00485e95da79041e6d9d399641"", ""display_name"": ""0xe1b9...9641"", ""received_totals"": [{""symbol"": ""USDC"", ""amount"": 16116.0}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 16116.0, ""tribes"": [""contributor"", ""member"", ""recipient""]}, {""address"": ""0x3f5111e64c0b96cc6b436151da820a3f979ef7f2"", ""display_name"": ""0x3f51...f7f2"", ""received_totals"": [{""symbol"": ""USDC"", ""amount"": 12000.0}], ""authored_count"": 0, ""delivery_count"": 0, ""score"": 12000.0, ""tribes"": [""contributor"", ""member"", ""recipient""]}]"
