proposal_id,number,chain,title,status,proposer_display_name,proposer_address,ended_at,votes_for,votes_against,votes_abstain,threshold,budget_eth,budget_usdc,budget_usd_estimate,tags,proposal_url
base-111,111,base,Gnars Revamp: Docs and Governance,defeated,fcarva,0xaaed9fff9858d48925904e391b77892ba5fda824,2026-02-09T13:43:25Z,324,136,264,599,0.25,900,1650,governance|analytics|data-infrastructure|docs|archive,https://www.gnars.com/proposals/111
base-118,118,base,Gnars Operations - Q1 2026 Workstream Proposal,active,r4topunk,0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d,2026-03-20T17:41:11Z,614,0,154,600,1.5,3000,6000,operations|ai-infrastructure|data-pipelines|website|governance,https://www.gnars.com/proposals/base/118
